company_id,Company,description,Industry,Location(country),Location(State),Job_post
10015,FICO,"FICO (originally Fair Isaac Corporation) is a U.S.-based analytics and software company best known for developing the FICO Score, a widely used credit scoring model. Headquartered in Bozeman, Montana, FICO provides data-driven decision management solutions to businesses in sectors such as financial services, insurance, retail, and healthcare. Its products include credit risk assessment, fraud detection, marketing optimization, and customer analytics. FICO’s technologies are used by banks and lenders worldwide to evaluate creditworthiness, manage risk, and improve operational efficiency.",IT Software,United States,MT,1
10016,Greenheck Group,"Greenheck Group is a leading manufacturer of air movement, control, and conditioning equipment, headquartered in Schofield, Wisconsin. The company designs and produces products such as fans, dampers, louvers, kitchen ventilation systems, and energy recovery solutions used in commercial, institutional, and industrial buildings. Known for its innovation, quality, and commitment to sustainability, Greenheck serves customers across North America and globally through its family of brands. The company is also recognized for its strong employee culture and investment in workforce development.",Engineering,United States,WI,1
10017,Suffolk,"Suffolk is a U.S.-based construction and real estate enterprise headquartered in Boston, Massachusetts. It is one of the largest privately held building contractors in the country, providing services in construction management, design-build, and general contracting across sectors such as commercial, residential, healthcare, education, aviation, and government. Suffolk is known for its innovative use of technology, commitment to sustainability, and collaborative approach to project delivery. The company leverages data and predictive analytics to improve efficiency and outcomes in construction projects.",Construction,United States,MA,1
10018,Toll Brothers,"Toll Brothers is a U.S.-based luxury home builder known for designing and constructing upscale residential communities across the United States. Founded in 1967 and headquartered in Fort Washington, Pennsylvania, the company develops a wide range of properties including single-family homes, condominiums, and active adult communities. Toll Brothers emphasizes architectural design, quality craftsmanship, and customization, and is frequently recognized for its excellence in homebuilding and customer satisfaction.",Construction,United States,PA,2
10019,Excellus BlueCross BlueShield,"Excellus BlueCross BlueShield is a nonprofit health insurance company based in upstate New York. It is part of the BlueCross BlueShield Association and serves individuals, families, and businesses with a range of health coverage options, including medical, dental, vision, and Medicare plans. Excellus is known for its focus on community wellness, customer service, and providing accessible, affordable healthcare solutions tailored to local needs.",Insurance,United States,NY,2
10020,Businessolver,"Businessolver is a U.S.-based technology company specializing in benefits administration solutions. Headquartered in West Des Moines, Iowa, Businessolver provides a cloud-based platform that helps employers manage employee benefits, including health, dental, vision, and retirement plans. Their platform integrates artificial intelligence and decision-support tools to enhance user experience, improve compliance, and streamline HR processes. Known for its ""technology with heart"" approach, Businessolver focuses on both innovation and customer service in the benefits administration space.",IT Software,United States,IA,3
10021,Medica,"Medica is a nonprofit health insurance company headquartered in Minnetonka, Minnesota. It offers a variety of health plans, including individual and family coverage, employer group plans, Medicare, and Medicaid services. Medica operates primarily in the Midwest, serving states such as Minnesota, Iowa, Nebraska, North Dakota, and Wisconsin. The organization is known for its commitment to community health, customer service, and providing access to quality, affordable care through a broad network of healthcare providers.",Insurance,United States,MN,1
10022,Velera,"Velera is a leading U.S.-based credit union service organization (CUSO) and integrated financial technology solutions provider. Headquartered in St. Petersburg, Florida, Velera was formed in 2024 through the merger and rebranding of two long-standing industry leaders: PSCU and Co-op Solutions . With over 45 years of combined experience, Velera serves more than 4,000 financial institutions across North America, delivering a comprehensive suite of services designed to enhance member engagement, streamline operations, and drive growth .",Banking,United States,FL,1
10023,Nutanix,"Nutanix is a U.S.-based cloud computing company that specializes in hyperconverged infrastructure (HCI) solutions. Headquartered in San Jose, California, Nutanix enables businesses to simplify and modernize their data centers by integrating compute, storage, and networking into a single software-defined platform. The company offers hybrid multicloud services that allow organizations to run applications across public and private clouds with agility and efficiency. Nutanix serves industries such as finance, healthcare, education, and government, and is known for its innovation in IT infrastructure and enterprise cloud technology.",IT Software,United States,NY,3
10024,Alvaria,"Alvaria is a global provider of enterprise-scale customer experience (CX) and workforce engagement management (WEM) software solutions. Formed through the merger of Aspect Software and Noble Systems in 2021, Alvaria delivers technology that helps large organizations optimize contact center performance, automate customer interactions, and improve employee productivity. Headquartered in Massachusetts, Alvaria serves clients across various industries, including finance, healthcare, and telecommunications, with a strong focus on compliance, scalability, and customer satisfaction.",IT Software,United States,MA,1
10025,Coorstek,"CoorsTek is a U.S.-based, family-owned company that specializes in advanced ceramics and engineered materials. Headquartered in Golden, Colorado, CoorsTek develops high-performance ceramic components used in a wide range of industries, including aerospace, automotive, electronics, energy, medical, and defense. Known for its innovation and material science expertise, CoorsTek provides durable, heat-resistant, and chemically stable solutions for challenging industrial applications. The company has a global presence, with manufacturing and research facilities across North America, Europe, and Asia.",Engineering,United States,CO,1
10026,The HK Group,"The HK Group is a family of companies based in Pennsylvania, USA, specializing in heavy construction, site development, and materials supply. Founded in 1968, the group provides a wide range of services including excavation, paving, demolition, and recycling, as well as producing construction materials such as crushed stone, asphalt, and ready-mix concrete. The HK Group is known for its integrated project delivery, safety standards, and long-standing commitment to supporting infrastructure development throughout the Mid-Atlantic region.",Construction,United States,PA,1
10027,Altec,"Altec is a U.S.-based company specializing in the design, manufacture, and service of equipment for the electric utility, telecommunications, tree care, lights and signs, and contractor markets. Founded in 1929 and headquartered in Birmingham, Alabama, Altec is best known for its aerial devices, digger derricks, cranes, and other truck-mounted equipment. The company also provides fleet services, financing, and asset management solutions. Altec is recognized for its commitment to safety, innovation, and support of infrastructure and utility operations worldwide.",Engineering,United States, AL,1
10028,Oppenheimer & Co. Inc.,"Oppenheimer & Co. Inc. is a U.S.-based investment bank and wealth management firm headquartered in New York City. The firm offers a wide range of financial services, including investment banking, asset management, equities and fixed income trading, and financial advisory services. Oppenheimer serves institutional investors, high-net-worth individuals, and corporate clients. With a history dating back to 1881, the company is known for its research capabilities, personalized wealth planning, and capital markets expertise.",Banking,United States,NY,1
10029,Kaiser Aluminum,"Kaiser Aluminum is a leading producer of semi-fabricated specialty aluminum products, primarily serving the aerospace, automotive, and industrial markets. Headquartered in Franklin, Tennessee, the company manufactures rolled, extruded, and drawn aluminum products used in high-performance applications requiring strength, durability, and precision. Founded in 1946, Kaiser Aluminum is known for its strong technical expertise, focus on quality, and commitment to sustainability through responsible resource use and recycling.",Construction,United States,MI,1
10030,Cloudflare,"Cloudflare is a U.S.-based web infrastructure and cybersecurity company that provides content delivery network (CDN) services, DDoS mitigation, Internet security, and distributed domain name server (DNS) services. Headquartered in San Francisco, California, Cloudflare helps websites and applications run faster and more securely by protecting against online threats and improving performance through its global network. The company serves millions of customers worldwide, ranging from small businesses to large enterprises, and is known for its commitment to privacy, internet freedom, and innovation in web security.",IT Software,United States,CA,1
10031,Juniper Networks,"Juniper Networks is a U.S.-based multinational corporation that develops and sells networking products such as routers, switches, network security solutions, and software-defined networking (SDN) technologies. Headquartered in Sunnyvale, California, Juniper serves service providers, enterprises, and public sector organizations worldwide. The company is known for delivering high-performance networking and cybersecurity solutions that support digital transformation and cloud infrastructure. Its product portfolio emphasizes automation, AI-driven operations, and secure connectivity.",IT Software,United States,CA,1
10032,Granite Construction,"Granite Construction is one of the largest infrastructure contractors and construction materials producers in the United States. Headquartered in Watsonville, California, the company specializes in civil construction projects including roads, bridges, railways, airports, and water infrastructure. Granite also provides construction materials such as asphalt, aggregates, and ready-mix concrete. Known for its focus on sustainability, safety, and innovation, Granite serves both public and private sector clients across the U.S. with a commitment to delivering quality infrastructure solutions.",Construction,United States,CA,2
10033,Arthrex,"Arthrex is a global medical device company specializing in orthopedic surgical products and minimally invasive surgical technology. Headquartered in Naples, Florida, Arthrex designs and manufactures innovative solutions for arthroscopy, sports medicine, and joint replacement procedures. The company is known for its strong focus on research, medical education, and product development, offering thousands of products used by surgeons worldwide. Arthrex’s mission is to help surgeons treat patients better by advancing surgical techniques and improving patient outcomes.",Health care,United States,FL,2
10034,Globe Life,"Globe Life is a U.S.-based life and supplemental health insurance company headquartered in McKinney, Texas. It provides affordable term life, whole life, and accidental death insurance, as well as supplemental health coverage such as hospital and critical illness plans. Globe Life serves millions of policyholders across the United States through its direct-to-consumer model and a network of affiliated agencies. The company is known for its straightforward application process, no medical exam policies, and commitment to making insurance accessible to families and individuals nationwide.",Insurance,United States,TX,2
10035,Internet Brands,"Internet Brands is a U.S.-based digital media, marketing, and software services company headquartered in El Segundo, California. It operates a broad portfolio of websites and online platforms across verticals such as health, legal, automotive, and home/travel. Internet Brands also provides SaaS solutions and marketing services to professionals and small businesses, including web development, SEO, and client management tools. Known for brands like WebMD, Avvo, and CarsDirect, the company blends consumer-facing digital media with business-to-business services to deliver targeted, tech-driven solutions.",IT Software,United States,CA,2
,,,,,,
